funcao,tamanho_entrada,threads,tempo
trigonometric_id,100,5,0.000938
trigonometric_id,100,5,0.001011
trigonometric_id,100,5,0.001155
trigonometric_id,100,5,0.001047
trigonometric_id,100,5,0.001083
trigonometric_id,100,6,0.001271
trigonometric_id,100,6,0.001214
trigonometric_id,100,6,0.001217
trigonometric_id,100,6,0.000942
trigonometric_id,100,6,0.001273
trigonometric_id,100,7,0.001068
trigonometric_id,100,7,0.00128
trigonometric_id,100,7,0.00115
trigonometric_id,100,7,0.001293
trigonometric_id,100,7,0.001233
trigonometric_id,100,8,0.001212
trigonometric_id,100,8,0.001267
trigonometric_id,100,8,0.001267
trigonometric_id,100,8,0.001314
trigonometric_id,100,8,0.001359
trigonometric_id,1000,1,0.059559
trigonometric_id,1000,1,0.058717
trigonometric_id,1000,1,0.059329
trigonometric_id,1000,1,0.059767
trigonometric_id,1000,1,0.059265
trigonometric_id,1000,2,0.037853
trigonometric_id,1000,2,0.030969
trigonometric_id,1000,2,0.031452
trigonometric_id,1000,2,0.033168
trigonometric_id,1000,2,0.031541
trigonometric_id,1000,3,0.033474
trigonometric_id,1000,3,0.023321
trigonometric_id,1000,3,0.029094
trigonometric_id,1000,3,0.029529
trigonometric_id,1000,3,0.033945
trigonometric_id,1000,4,0.028805
trigonometric_id,1000,4,0.030726
trigonometric_id,1000,4,0.030613
trigonometric_id,1000,4,0.021677
trigonometric_id,1000,4,0.021651
trigonometric_id,1000,5,0.02622
trigonometric_id,1000,5,0.024129
trigonometric_id,1000,5,0.024799
trigonometric_id,1000,5,0.025546
trigonometric_id,1000,5,0.022921
trigonometric_id,1000,6,0.023085
trigonometric_id,1000,6,0.0231
trigonometric_id,1000,6,0.022628
trigonometric_id,1000,6,0.02363
trigonometric_id,1000,6,0.02315
trigonometric_id,1000,7,0.021487
trigonometric_id,1000,7,0.021441
trigonometric_id,1000,7,0.022301
trigonometric_id,1000,7,0.021144
trigonometric_id,1000,7,0.022277
trigonometric_id,1000,8,0.019994
trigonometric_id,1000,8,0.020271
trigonometric_id,1000,8,0.020253
trigonometric_id,1000,8,0.020275
trigonometric_id,1000,8,0.019838
trigonometric_id,10000,1,6.26656
trigonometric_id,10000,1,6.335161
trigonometric_id,10000,1,6.509421
